name,street,city,state_id/name,country_id/name,phone,email,customer_rank,company_type,vat,comment
Condominio Empresarial 001,"Rua das Flores, 10",Sorocaba,Sao Paulo,Brazil,19 90001-0007,adm001@cond001.com.br,1,company,01.100.010/0001-01,Cliente WPS Digital - Contrato 001
Condominio Village 002,"Rua das Flores, 20",Jundiai,Sao Paulo,Brazil,19 90002-0014,adm002@cond002.com.br,1,company,02.200.020/0001-02,Cliente WPS Digital - Contrato 002
Condominio Garden 003,"Rua das Flores, 30",Piracicaba,Sao Paulo,Brazil,19 90003-0021,adm003@cond003.com.br,1,company,03.300.030/0001-03,Cliente WPS Digital - Contrato 003
Condominio Park 004,"Rua das Flores, 40",Limeira,Sao Paulo,Brazil,19 90004-0028,adm004@cond004.com.br,1,company,04.400.040/0001-04,Cliente WPS Digital - Contrato 004
Condominio Plaza 005,"Rua das Flores, 50",Americana,Sao Paulo,Brazil,19 90005-0035,adm005@cond005.com.br,1,company,05.500.050/0001-05,Cliente WPS Digital - Contrato 005
Condominio Tower 006,"Rua das Flores, 60",Sao Carlos,Sao Paulo,Brazil,19 90006-0042,adm006@cond006.com.br,1,company,06.600.060/0001-06,Cliente WPS Digital - Contrato 006
Condominio Hills 007,"Rua das Flores, 70",Araraquara,Sao Paulo,Brazil,19 90007-0049,adm007@cond007.com.br,1,company,07.700.070/0001-07,Cliente WPS Digital - Contrato 007
Condominio Vale 008,"Rua das Flores, 80",Bauru,Sao Paulo,Brazil,19 90008-0056,adm008@cond008.com.br,1,company,08.800.080/0001-08,Cliente WPS Digital - Contrato 008
Condominio Parque 009,"Rua das Flores, 90",Ribeirao Preto,Sao Paulo,Brazil,19 90009-0063,adm009@cond009.com.br,1,company,09.900.090/0001-09,Cliente WPS Digital - Contrato 009
Condominio Residencial 010,"Rua das Flores, 100",Campinas,Sao Paulo,Brazil,19 90010-0070,adm010@cond010.com.br,1,company,10.1000.100/0001-10,Cliente WPS Digital - Contrato 010
Condominio Empresarial 011,"Rua das Flores, 110",Sorocaba,Sao Paulo,Brazil,19 90011-0077,adm011@cond011.com.br,1,company,11.1100.110/0001-11,Cliente WPS Digital - Contrato 011
Condominio Village 012,"Rua das Flores, 120",Jundiai,Sao Paulo,Brazil,19 90012-0084,adm012@cond012.com.br,1,company,12.1200.120/0001-12,Cliente WPS Digital - Contrato 012
Condominio Garden 013,"Rua das Flores, 130",Piracicaba,Sao Paulo,Brazil,19 90013-0091,adm013@cond013.com.br,1,company,13.1300.130/0001-13,Cliente WPS Digital - Contrato 013
Condominio Park 014,"Rua das Flores, 140",Limeira,Sao Paulo,Brazil,19 90014-0098,adm014@cond014.com.br,1,company,14.1400.140/0001-14,Cliente WPS Digital - Contrato 014
Condominio Plaza 015,"Rua das Flores, 150",Americana,Sao Paulo,Brazil,19 90015-0105,adm015@cond015.com.br,1,company,15.1500.150/0001-15,Cliente WPS Digital - Contrato 015
Condominio Tower 016,"Rua das Flores, 160",Sao Carlos,Sao Paulo,Brazil,19 90016-0112,adm016@cond016.com.br,1,company,16.1600.160/0001-16,Cliente WPS Digital - Contrato 016
Condominio Hills 017,"Rua das Flores, 170",Araraquara,Sao Paulo,Brazil,19 90017-0119,adm017@cond017.com.br,1,company,17.1700.170/0001-17,Cliente WPS Digital - Contrato 017
Condominio Vale 018,"Rua das Flores, 180",Bauru,Sao Paulo,Brazil,19 90018-0126,adm018@cond018.com.br,1,company,18.1800.180/0001-18,Cliente WPS Digital - Contrato 018
Condominio Parque 019,"Rua das Flores, 190",Ribeirao Preto,Sao Paulo,Brazil,19 90019-0133,adm019@cond019.com.br,1,company,19.1900.190/0001-19,Cliente WPS Digital - Contrato 019
Condominio Residencial 020,"Rua das Flores, 200",Campinas,Sao Paulo,Brazil,19 90020-0140,adm020@cond020.com.br,1,company,20.2000.200/0001-20,Cliente WPS Digital - Contrato 020
Condominio Empresarial 021,"Rua das Flores, 210",Sorocaba,Sao Paulo,Brazil,19 90021-0147,adm021@cond021.com.br,1,company,21.2100.210/0001-21,Cliente WPS Digital - Contrato 021
Condominio Village 022,"Rua das Flores, 220",Jundiai,Sao Paulo,Brazil,19 90022-0154,adm022@cond022.com.br,1,company,22.2200.220/0001-22,Cliente WPS Digital - Contrato 022
Condominio Garden 023,"Rua das Flores, 230",Piracicaba,Sao Paulo,Brazil,19 90023-0161,adm023@cond023.com.br,1,company,23.2300.230/0001-23,Cliente WPS Digital - Contrato 023
Condominio Park 024,"Rua das Flores, 240",Limeira,Sao Paulo,Brazil,19 90024-0168,adm024@cond024.com.br,1,company,24.2400.240/0001-24,Cliente WPS Digital - Contrato 024
Condominio Plaza 025,"Rua das Flores, 250",Americana,Sao Paulo,Brazil,19 90025-0175,adm025@cond025.com.br,1,company,25.2500.250/0001-25,Cliente WPS Digital - Contrato 025
Condominio Tower 026,"Rua das Flores, 260",Sao Carlos,Sao Paulo,Brazil,19 90026-0182,adm026@cond026.com.br,1,company,26.2600.260/0001-26,Cliente WPS Digital - Contrato 026
Condominio Hills 027,"Rua das Flores, 270",Araraquara,Sao Paulo,Brazil,19 90027-0189,adm027@cond027.com.br,1,company,27.2700.270/0001-27,Cliente WPS Digital - Contrato 027
Condominio Vale 028,"Rua das Flores, 280",Bauru,Sao Paulo,Brazil,19 90028-0196,adm028@cond028.com.br,1,company,28.2800.280/0001-28,Cliente WPS Digital - Contrato 028
Condominio Parque 029,"Rua das Flores, 290",Ribeirao Preto,Sao Paulo,Brazil,19 90029-0203,adm029@cond029.com.br,1,company,29.2900.290/0001-29,Cliente WPS Digital - Contrato 029
Condominio Residencial 030,"Rua das Flores, 300",Campinas,Sao Paulo,Brazil,19 90030-0210,adm030@cond030.com.br,1,company,30.3000.300/0001-30,Cliente WPS Digital - Contrato 030
Condominio Empresarial 031,"Rua das Flores, 310",Sorocaba,Sao Paulo,Brazil,19 90031-0217,adm031@cond031.com.br,1,company,31.3100.310/0001-31,Cliente WPS Digital - Contrato 031
Condominio Village 032,"Rua das Flores, 320",Jundiai,Sao Paulo,Brazil,19 90032-0224,adm032@cond032.com.br,1,company,32.3200.320/0001-32,Cliente WPS Digital - Contrato 032
